n_done,prompt_idx,seq_len,n_valid_positions,elapsed_s,identity_distance,mean_rel_change
298,297,128,111,9.660,0.580487,0.00353158
299,298,128,111,8.899,0.579903,0.00413153
300,299,128,111,8.945,0.579848,0.00357421
301,300,128,111,8.918,0.579895,0.00325628
302,301,128,111,8.892,0.579758,0.00303590
303,302,128,111,8.871,0.579809,0.00389500
304,303,128,111,8.859,0.579773,0.00379214
305,304,128,111,8.871,0.579790,0.00390752
306,305,128,111,8.886,0.579769,0.00393440
307,306,128,111,8.974,0.579674,0.00438623
308,307,128,111,9.057,0.579645,0.00363225
309,308,128,111,9.069,0.579428,0.00318482
310,309,128,111,8.852,0.579295,0.00377253
311,310,128,111,9.049,0.579114,0.00436956
312,311,128,111,8.862,0.579120,0.00334414
313,312,128,111,8.872,0.579045,0.00336007
314,313,128,111,8.954,0.579048,0.00347298
315,314,128,111,8.879,0.578970,0.00377379
316,315,128,111,8.962,0.578896,0.00300393
317,316,128,111,8.986,0.578941,0.00397471
318,317,128,111,8.971,0.578773,0.00425207
319,318,128,111,8.855,0.578772,0.00387596
320,319,128,111,8.891,0.578773,0.00301209
321,320,128,111,8.859,0.578772,0.00337883
322,321,128,111,8.948,0.578730,0.00320190
323,322,128,111,8.801,0.578708,0.00316011
324,323,128,111,8.964,0.578585,0.00343757
325,324,128,111,9.109,0.578602,0.00337182
326,325,128,111,8.885,0.578653,0.00344018
327,326,128,111,8.863,0.578672,0.00365911
328,327,128,111,8.859,0.578647,0.00409489
329,328,128,111,8.968,0.578671,0.00419524
330,329,128,111,8.846,0.578654,0.00321420
331,330,128,111,9.066,0.578624,0.00312072
332,331,128,111,8.931,0.578627,0.00231926
333,332,128,111,8.896,0.578642,0.00312438
334,333,128,111,8.843,0.578645,0.00376702
335,334,128,111,9.061,0.578584,0.00324620
336,335,128,111,8.846,0.578627,0.00363867
337,336,128,111,8.955,0.578547,0.00350446
338,337,128,111,8.847,0.578569,0.00366546
339,338,128,111,8.934,0.578488,0.00324565
340,339,128,111,8.861,0.578471,0.00298192
341,340,128,111,8.871,0.578426,0.00358738
342,341,128,111,8.980,0.578415,0.00367893
343,342,128,111,8.928,0.578456,0.00270999
344,343,128,111,8.937,0.578576,0.00347079
345,344,128,111,8.724,0.578616,0.00387119
346,345,128,111,8.785,0.578599,0.00310959
347,346,128,111,8.749,0.578555,0.00390804
348,347,128,111,8.754,0.578623,0.00245040
349,348,128,111,8.846,0.578634,0.00293399
350,349,128,111,8.868,0.578696,0.00458086
351,350,128,111,8.822,0.578691,0.00283672
352,351,128,111,8.784,0.578670,0.00286665
353,352,128,111,8.763,0.578635,0.00281007
354,353,128,111,8.753,0.578615,0.00276983
355,354,128,111,8.746,0.578722,0.00301601
356,355,128,111,8.774,0.578719,0.00312237
357,356,128,111,8.767,0.578770,0.00284440
358,357,128,111,8.836,0.578783,0.00273669
359,358,128,111,8.882,0.578784,0.00307197
360,359,128,111,8.855,0.578784,0.00256532
361,360,128,111,8.879,0.578731,0.00337675
362,361,128,111,8.858,0.578772,0.00287250
363,362,128,111,8.848,0.578773,0.00267661
364,363,128,111,8.945,0.578799,0.00300293
365,364,128,111,8.736,0.578796,0.00426676
366,365,128,111,8.755,0.578793,0.00303228
367,366,128,111,8.764,0.578750,0.00347076
368,367,128,111,8.834,0.578758,0.00467421
369,368,128,111,8.970,0.578754,0.00257963
370,369,128,111,8.857,0.578749,0.00272978
371,370,128,111,8.858,0.578779,0.00268177
372,371,128,111,9.023,0.578745,0.00225847
373,372,128,111,8.961,0.578595,0.00298279
374,373,128,111,9.049,0.578509,0.00350798
375,374,128,111,8.857,0.578396,0.00308893
376,375,128,111,8.866,0.578352,0.00271836
377,376,128,111,8.761,0.578391,0.00330929
378,377,128,111,8.925,0.578342,0.00242308
379,378,128,111,8.884,0.578374,0.00283754
380,379,128,111,8.754,0.578392,0.00257124
381,380,128,111,8.830,0.578459,0.00268905
382,381,128,111,8.855,0.578414,0.00285841
383,382,128,111,8.937,0.578407,0.00294790
384,383,128,111,8.831,0.578405,0.00293235
385,384,128,111,8.924,0.578359,0.00263518
386,385,128,111,8.836,0.578318,0.00254006
387,386,128,111,8.970,0.578344,0.00349330
388,387,128,111,8.934,0.578298,0.00244678
389,388,128,111,8.758,0.578276,0.00258518
390,389,128,111,8.768,0.578288,0.00275169
391,390,128,111,8.738,0.578299,0.00317413
392,391,128,111,8.767,0.578381,0.00298386
393,392,128,111,8.887,0.578326,0.00265608
394,393,128,111,8.860,0.578355,0.00260271
395,394,128,111,8.857,0.578280,0.00304227
396,395,128,111,8.955,0.578350,0.00328228
397,396,128,111,8.750,0.578439,0.00272562
398,397,128,111,8.750,0.578435,0.00285368
399,398,128,111,8.753,0.578445,0.00304753
400,399,128,111,8.744,0.578522,0.00233601
401,400,128,111,8.662,0.578502,0.00237520
402,401,128,111,8.837,0.578420,0.00296130
403,402,128,111,8.845,0.578468,0.00353059
404,403,128,111,8.857,0.578540,0.00333323
405,404,128,111,9.144,0.578453,0.00278766
406,405,128,111,8.849,0.578434,0.00248399
407,406,128,111,8.867,0.578465,0.00267196
408,407,128,111,8.934,0.578451,0.00312324
409,408,128,111,9.067,0.578547,0.00327545
410,409,128,111,9.048,0.578597,0.00252327
411,410,128,111,9.048,0.578631,0.00315774
412,411,128,111,8.951,0.578667,0.00290965
413,412,128,111,8.846,0.578760,0.00276369
414,413,128,111,9.074,0.578716,0.00264924
415,414,128,111,8.931,0.578616,0.00250959
416,415,128,111,8.961,0.578642,0.00244775
417,416,128,111,9.044,0.578609,0.00291518
418,417,128,111,8.977,0.578614,0.00239439
419,418,128,111,8.847,0.578612,0.00277364
420,419,128,111,8.968,0.578626,0.00230600
421,420,128,111,9.023,0.578679,0.00272204
422,421,128,111,9.159,0.578725,0.00312664
423,422,128,111,8.845,0.578762,0.00276568
424,423,128,111,8.846,0.578803,0.00224564
425,424,128,111,8.892,0.578811,0.00272764
426,425,128,111,8.840,0.578836,0.00253830
427,426,128,111,8.921,0.578900,0.00299947
428,427,128,111,8.935,0.578912,0.00253265
429,428,128,111,8.846,0.578904,0.00216555
430,429,128,111,8.848,0.579004,0.00307372
431,430,128,111,9.076,0.578999,0.00285224
432,431,128,111,8.758,0.578972,0.00353550
433,432,128,111,8.930,0.578929,0.00236533
434,433,128,111,8.758,0.578918,0.00309773
435,434,128,111,8.649,0.578901,0.00270905
436,435,128,111,8.645,0.578865,0.00220543
437,436,128,111,8.752,0.578777,0.00321341
438,437,128,111,8.824,0.578739,0.00231687
439,438,128,111,8.843,0.578655,0.00225454
440,439,128,111,8.847,0.578596,0.00264333
441,440,128,111,8.765,0.578578,0.00306957
442,441,128,111,8.924,0.578574,0.00327588
443,442,128,111,8.762,0.578510,0.00341792
444,443,128,111,8.937,0.578517,0.00280726
445,444,128,111,8.952,0.578459,0.00251866
446,445,128,111,8.756,0.578417,0.00317691
447,446,128,111,9.060,0.578465,0.00419676
448,447,128,111,8.864,0.578440,0.00299874
449,448,128,111,8.739,0.578405,0.00298175
450,449,128,111,8.754,0.578362,0.00276410
451,450,128,111,8.649,0.578319,0.00216626
452,451,128,111,8.840,0.578309,0.00246493
453,452,128,111,8.846,0.578287,0.00207011
454,453,128,111,8.744,0.578286,0.00230119
455,454,128,111,8.824,0.578244,0.00249172
456,455,128,111,8.768,0.578176,0.00316353
457,456,128,111,8.922,0.578155,0.00249158
458,457,128,111,8.940,0.578161,0.00200111
459,458,128,111,8.966,0.578165,0.00231218
460,459,128,111,8.978,0.578086,0.00179715
461,460,128,111,8.847,0.578124,0.00231045
462,461,128,111,8.839,0.578133,0.00203877
463,462,128,111,8.823,0.578137,0.00213946
464,463,128,111,8.757,0.578147,0.00187843
465,464,128,111,8.857,0.578118,0.00207227
466,465,128,111,9.020,0.578088,0.00232892
467,466,128,111,8.961,0.578067,0.00196566
468,467,128,111,8.761,0.578066,0.00195507
469,468,128,111,8.567,0.578079,0.00268315
470,469,128,111,8.755,0.578075,0.00185966
471,470,128,111,8.741,0.578074,0.00202188
472,471,128,111,8.745,0.578090,0.00192796
473,472,128,111,8.756,0.578117,0.00235082
474,473,128,111,8.839,0.578094,0.00201293
475,474,128,111,8.784,0.578104,0.00216943
476,475,128,111,8.772,0.578102,0.00206319
477,476,128,111,8.749,0.578093,0.00179837
478,477,128,111,8.841,0.578033,0.00209556
479,478,128,111,8.750,0.578040,0.00191898
480,479,128,111,8.851,0.578079,0.00218399
481,480,128,111,8.858,0.578098,0.00202990
482,481,128,111,8.771,0.578108,0.00222065
483,482,128,111,8.742,0.578092,0.00192329
484,483,128,111,8.742,0.578133,0.00190238
485,484,128,111,8.837,0.578094,0.00181395
